headX,headY,spineX,spineY,shoulder centerX,shoulder centerX,shoulder rightX,shoulder rightY,elbowRightX,elbowRightY,wristrightX,wristrightY,center angle
-0.1296263,0.4020551,-0.1347448,-0.116696,-0.1428443,0.2078922,0.0388881,0.1071199,0.2364624,-0.06258052,0.4329267,-0.1815236,54.9968956376262
-0.1298035,0.402387,-0.1343875,-0.1164887,-0.1425174,0.2080185,0.03924273,0.1074499,0.2375805,-0.0607886,0.4356198,-0.17693,55.2866153102256
-0.1297684,0.4025354,-0.1337283,-0.1166471,-0.1422493,0.2080913,0.03959867,0.1078772,0.2378038,-0.0591946,0.4354501,-0.1760872,55.2558713756873
-0.1300343,0.4026729,-0.1329493,-0.116647,-0.1416751,0.2082564,0.04034347,0.1084582,0.2385398,-0.05900313,0.434958,-0.1778598,54.9381067812895
-0.1301872,0.4025234,-0.1317809,-0.1171104,-0.1410363,0.2083068,0.04060696,0.1094169,0.2387003,-0.05922415,0.430567,-0.1848896,54.0280577246855
-0.1301607,0.4026265,-0.1307449,-0.1172413,-0.1406567,0.2084774,0.04096539,0.1104804,0.237952,-0.0604126,0.4185377,-0.2016255,52.2031714141211
-0.1301371,0.4026611,-0.1293568,-0.1170864,-0.1397055,0.2089213,0.04169853,0.111745,0.2350445,-0.06616601,0.4047707,-0.221507,49.2475171978058
-0.1297566,0.4026007,-0.1282222,-0.1172219,-0.1391907,0.2089262,0.04235318,0.1122511,0.2303882,-0.07774309,0.3922824,-0.2418701,47.0325766868323
-0.1296331,0.4024733,-0.1265475,-0.1173778,-0.1376811,0.2090318,0.04335165,0.1126583,0.2178792,-0.09291472,0.3685616,-0.2672143,43.6232347334243
-0.1295211,0.4027576,-0.1252576,-0.1173436,-0.1354609,0.2097113,0.04396993,0.1131243,0.1994184,-0.1118369,0.3399559,-0.2928396,41.3588290479827
-0.1292096,0.4029924,-0.1237048,-0.1174885,-0.1325381,0.210545,0.04404985,0.1133857,0.1872852,-0.1144484,0.2979025,-0.3161323,37.1991763800131
-0.1282443,0.4036875,-0.1224247,-0.1178176,-0.1307771,0.2110538,0.04379962,0.1136665,0.1707005,-0.1247975,0.2665488,-0.3355285,33.6260728575504
-0.1281164,0.4036012,-0.1213607,-0.1184809,-0.1285745,0.2112337,0.04341917,0.1140942,0.1531822,-0.1357011,0.239119,-0.3507279,31.3303627243471
-0.1268961,0.4039629,-0.120493,-0.1191925,-0.127194,0.2113501,0.04318329,0.114363,0.1425129,-0.1380719,0.2108805,-0.3593758,29.3226159523958
-0.1245566,0.4052702,-0.119536,-0.1197738,-0.1255407,0.2116752,0.04294788,0.1143315,0.1299366,-0.1404276,0.1969711,-0.3622652,27.3513294910998
-0.1239299,0.4051729,-0.1185896,-0.1207559,-0.1241525,0.2115316,0.04283621,0.1142925,0.120798,-0.1416914,0.1802203,-0.3656076,25.8331887864217
-0.122443,0.4052245,-0.1175815,-0.1209769,-0.122255,0.2121113,0.04285111,0.1144041,0.112873,-0.1447572,0.165943,-0.3703692,24.7323506427653
